City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
bosanska krupa,69.72,77,0,2.19,44.88,16.15
half moon bay,65.88,93,90,9.17,37.46,-122.43
guerrero negro,67.47,96,0,6.78,27.97,-114.04
kulhudhuffushi,82.95,100,64,19.86,6.62,73.07
amahai,79.98,100,68,12.26,-3.31,129
surt,74.49,100,0,5.21,31.21,16.59
pinahat,91.32,86,0,10.69,26.89,78.37
ostrovnoy,75.03,62,0,9.24,68.05,39.51
falam,76.38,81,68,2.19,22.91,93.68
montepuez,62.97,81,80,8.12,-13.13,39
ostersund,57.2,87,44,4.7,63.18,14.64
flic en flac,71.6,60,75,12.75,-20.27,57.36
kangaatsiaq,39.57,98,12,18.52,68.31,-53.46
bonavista,57.3,86,92,6.78,48.65,-53.11
